"WAYPOINT IDENTIFIER","LAT","LON"
"ADINI","52°00’33.3”N","021°15’22.6”E"
"AGAVA","51°34’53.1”N","019°57’38.7”E"
"AMSOS","51°33’39.6”N","020°41’44.2”E"
"BARNA","51°48’47.4”N","021°07’13.4”E"
"BEXON","52°07’23.3”N","021°09’27.8”E"
"BIMPA","52°22’27.8”N","019°46’29.0”E"
"DETOR","52°01’55.0”N","021°36’59.0”E"
"DINRI","52°26’01.9”N","020°34’18.8”E"
"ELKIR","51°34’25.7”N","020°15’14.3”E"
"ERLEG","52°00’47.2”N","021°06’00.2”E"
"GOMSA","52°17’22.8”N","020°18’48.0”E"
"INSEX","51°37’49.2”N","020°56’24.1”E"
"IPSIM","52°10’03.0”N","021°28’18.0”E"
"LAVMO","52°12’58.0”N","020°46’02.0”E"
"LEMBU","51°53’29.2”N","021°21’27.4”E"
"LIMVI","51°44’42.0”N","021°41’08.0”E"
"LOGDA","51°17’04.0”N","020°41’38.0”E"
"NEGEN","51°52’18.7”N","021°04’10.8”E"
"NEPOX","52°09’33.0”N","021°59’57.1”E"
"NUTSO","51°49’57.5”N","021°24’28.8”E"
"OTMUL","51°55’50.7”N","021°01’07.0”E"
"PISEN","52°10’02.8”N","021°17’34.3”E"
"PIVIP","51°59’44.3”N","020°44’49.6”E"
"REBSO","52°16’16.0”N","021°01’43.7”E"
"RILET","51°54’22.4”N","021°38’48.5”E"
"SISLU","51°57’00.9”N","021°18’25.5”E"
"SORIX","52°41’43.0”N","019°49’12.0”E"
"TINBU","52°17’31.7”N","020°58’12.8”E"
"UMTIX","52°03’04.7”N","020°54’49.1”E"
"XEMRO","51°51’49.1”N","020°49’01.9”E"
"WA507","52°14’50.9”N","020°34’30.6”E"
"WA508","52°22’43.0”N","020°43’40.6”E"
"WA533","51°58’11.5”N","021°08’15.1”E"
"WA534","51°54’40.1”N","021°11’17.8”E"
"WA536","51°51’08.5”N","021°14’20.0”E"
"WA537","51°47’36.9”N","021°17’21.8”E"
"WA564","51°44’47.8”N","020°52’44.3”E"
"WA573","52°09’39.9”N","021°53’28.1”E"
"WA593","51°33’17.8”N","020°53’09.7”E"
"WA594","52°09’57.3”N","021°35’01.7”E"
"FAP/FAF","52°02’06.8”N","021°04’51.0”E"
