SEQUENCE_NUMBER,PATH,TERMINATOR_WAYPOINT,TRACK,DISTANCE,ALTITUDE,SPEED,NAV_SPEC
1,IF,SORIX,,,FL210,280,RNAV
2,TF,DINRI,119.4,31.7,,250,RNAV
3,TF,WA508,120.0,6.6,FL130,,RNAV
4,TF,TINBU,120.1,10.3,,220,RNAV
5,TF,REBSO,120.3,2.5,,,RNAV
6,TF,BEXON,151.8,10.1,,,RNAV
7,TF,ADINI,151.9,7.8,,220,RNAV
8,TF,SISLU,152.0,4,,,RNAV
9,TF,LEMBU,152.0,4,,,RNAV
10,TF,NUTSO,152.0,4,,220,RNAV
11,TF,WA537,242.1,5,,,RNAV
12,TF,WA536,332.0,4,,,RNAV
13,TF,WA534,331.9,4,,,RNAV
14,TF,WA533,331.9,4,,,RNAV
15,TF,ERLEG,331.9,2.9,,,RNAV
16,TF,FAP/FAF,331.8,1.5,ALT3000,,RNAV
