"SEQUENCE_NUMBER","PATH","TERMINATOR_WAYPOINT","TRACK","DISTANCE","ALTITUDE","SPEED","NAV_SPEC"
1,"IF","LOGDA",,,"FL190",280,"RNAV"
2,"TF","WA821","018.6","12.50",,,"RNAV"
3,"TF","EMCEL","018.7","12.92",,,"RNAV"
4,"TF","FOLFA","018.0","5.78",,250,"RNAV"
5,"TF","MAWBI","332.8","7.19",,,"RNAV"
6,"TF","KUGEB","332.7","6.96",,220,"RNAV"
7,"TF","VEKPE","062.7","6.01",,,"RNAV"
8,"TF","OTMUL","151.8","6.98",,,"RNAV"
9,"TF","NEGEN","151.8","4.01",,,"RNAV"
10,"TF","WA534","061.9","5.00",,220,"RNAV"
11,"TF","WA533","331.9",4,,,"RNAV"
12,"TF","ERLEG","331.9","2.9",,,"RNAV"
13,"TF","FAP/FAF","331.8","1.5","ALT3000",200,"RNAV"
