"SEQUENCE_NUMBER","PATH","TERMINATOR_WAYPOINT","TRACK","DISTANCE","ALTITUDE","SPEED","NAV_SPEC"
1,"IF","AGAVA",,,"FL190",280,"RNAV"
2,"TF","VIXLO","093.1","10.98","FL170",,"RNAV"
3,"TF","ARFEP","093.2","7.18",,,"RNAV"
4,"TF","EMCEL","067.6","18.80",,,"RNAV"
5,"TF","FOLFA","018.0","5.78",,250,"RNAV"
6,"TF","MAWBI","332.8","7.19",,,"RNAV"
7,"TF","KUGEB","332.7","6.96",,220,"RNAV"
8,"TF","VEKPE","062.7","6.01",,,"RNAV"
9,"TF","OTMUL","151.8","6.98",,,"RNAV"
10,"TF","NEGEN","151.8","4.01",,,"RNAV"
11,"TF","WA534","061.9","5.00",,220,"RNAV"
12,"TF","WA533","331.9",4,,,"RNAV"
13,"TF","ERLEG","331.9","2.9",,,"RNAV"
14,"TF","FAP/FAF","331.8","1.5","ALT3000",200,"RNAV"
