"SEQUENCE_NUMBER","PATH","TERMINATOR_WAYPOINT","TRACK","DISTANCE","ALTITUDE","SPEED","NAV_SPEC"
1,"IF","SORIX",,,"FL210",280,"RNAV"
2,"TF","KEWLU","120.1","22.04",,250,"RNAV"
3,"TF","MENCI","119.9","15.00",,,"RNAV"
4,"TF","REBSO","120.2","14.10",,,"RNAV"
5,"TF","SOFUZ","152.1","8.07",,220,"RNAV"
6,"TF","ADINI","152.0","9.77",,,"RNAV"
7,"TF","SISLU","152.0","4.01",,,"RNAV"
8,"TF","LEMBU","152.0","4.00",,,"RNAV"
9,"TF","WA536","242.0","5.00",,,"RNAV"
10,"TF","WA534","331.9","4.00",,220,"RNAV"
11,"TF","WA533","331.9",4,,,"RNAV"
12,"TF","ERLEG","331.9","2.9",,,"RNAV"
13,"TF","FAP/FAF","331.8","1.5","ALT3000",200,"RNAV"
